date,price
2022-01-01,47155.48
2022-01-02,47257.34
2022-01-03,46817.29
2022-01-04,46417.82
2022-01-05,45880.23
2022-01-06,43136.87
2022-01-07,42003.93
2022-01-08,41729.13
2022-01-09,41924.77
2022-01-10,41636.99
2022-01-11,42207.18
2022-01-12,43230.64
2022-01-13,43412.92
2022-01-14,42787.91
2022-01-15,43149.39
2022-01-16,43107.41
2022-01-17,42569.93
2022-01-18,41972.75
2022-01-19,41907.87
2022-01-20,42203.50
2022-01-21,38585.58
2022-01-22,35499.77
2022-01-23,35439.11
2022-01-24,35152.20
2022-01-25,36528.54
2022-01-26,37516.83
2022-01-27,36394.29
2022-01-28,37080.01
2022-01-29,37829.22
2022-01-30,37952.08
2022-01-31,37582.65
2022-02-01,38564.25
2022-02-02,38027.45
2022-02-03,36827.34
2022-02-04,38737.38
2022-02-05,41507.90
2022-02-06,41603.35
2022-02-07,43152.12
2022-02-08,43899.05
2022-02-09,43950.08
2022-02-10,44300.83
2022-02-11,43184.81
2022-02-12,42360.13
2022-02-13,42345.71
2022-02-14,42251.41
2022-02-15,43927.74
2022-02-16,43970.70
2022-02-17,42601.45
2022-02-18,40427.48
2022-02-19,40077.77
2022-02-20,38745.75
2022-02-21,38480.93
2022-02-22,37482.20
2022-02-23,38198.81
2022-02-24,36181.68
2022-02-25,38867.67
2022-02-26,39218.21
2022-02-27,38701.47
2022-02-28,39489.40
2022-03-01,43653.39
2022-03-02,44032.18
2022-03-03,43080.35
2022-03-04,40923.91
2022-03-05,39183.47
2022-03-06,39039.33
2022-03-07,38250.13
2022-03-08,38655.33
2022-03-09,41591.29
2022-03-10,39596.11
2022-03-11,38972.94
2022-03-12,39108.35
2022-03-13,38864.33
2022-03-14,38773.20
2022-03-15,39009.29
2022-03-16,40250.06
2022-03-17,40904.22
2022-03-18,40974.29
2022-03-19,41870.72
2022-03-20,41605.66
2022-03-21,41109.51
2022-03-22,42454.37
2022-03-23,42287.46
2022-03-24,43357.52
2022-03-25,44290.34
2022-03-26,44391.39
2022-03-27,44999.02
2022-03-28,47300.78
2022-03-29,47543.79
2022-03-30,47239.75
2022-03-31,46658.60
2022-04-01,45572.78
2022-04-02,46476.77
2022-04-03,46337.22
2022-04-04,46061.53
2022-04-05,46321.46
2022-04-06,44613.62
2022-04-07,43468.98
2022-04-08,43296.27
2022-04-09,42482.69
2022-04-10,42741.96
2022-04-11,41209.81
2022-04-12,39983.47
2022-04-13,40491.56
2022-04-14,40679.03
2022-04-15,40253.99
2022-04-16,40398.91
2022-04-17,40306.29
2022-04-18,39684.38
2022-04-19,41061.12
2022-04-20,41462.21
2022-04-21,41674.84
2022-04-22,40136.65
2022-04-23,39672.48
2022-04-24,39640.75
2022-04-25,39262.45
2022-04-26,39638.96
2022-04-27,38847.46
2022-04-28,39614.70
2022-04-29,39059.33
2022-04-30,38498.26
2022-05-01,38087.82
2022-05-02,38676.38
2022-05-03,38254.32
2022-05-04,38869.41
2022-05-05,38393.99
2022-05-06,36157.63
2022-05-07,35858.63
2022-05-08,34546.23
2022-05-09,32595.86
2022-05-10,31349.62
2022-05-11,30500.37
2022-05-12,28457.19
2022-05-13,30174.60
2022-05-14,29403.93
2022-05-15,30140.09
2022-05-16,29948.48
2022-05-17,30292.30
2022-05-18,29560.59
2022-05-19,29575.50
2022-05-20,29790.46
2022-05-21,29342.95
2022-05-22,29800.81
2022-05-23,30058.81
2022-05-24,29310.85
2022-05-25,29751.31
2022-05-26,29437.85
2022-05-27,28878.09
2022-05-28,28897.68
2022-05-29,29137.26
2022-05-30,30628.21
2022-05-31,31703.38
2022-06-01,31052.29
2022-06-02,30048.47
2022-06-03,29977.38
2022-06-04,29697.77
2022-06-05,29812.40
2022-06-06,31273.02
2022-06-07,29957.62
2022-06-08,30441.27
2022-06-09,30251.10
2022-06-10,29640.04
2022-06-11,28852.69
2022-06-12,27602.50
2022-06-13,24087.85
2022-06-14,22190.72
2022-06-15,21412.82
2022-06-16,21404.46
2022-06-17,20702.88
2022-06-18,19303.00
2022-06-19,19322.51
2022-06-20,20327.16
2022-06-21,21019.61
2022-06-22,20297.16
2022-06-23,20545.58
2022-06-24,21080.69
2022-06-25,21269.89
2022-06-26,21371.58
2022-06-27,21045.80
2022-06-28,20701.91
2022-06-29,20141.51
2022-06-30,19362.00
2022-07-01,19529.38
2022-07-02,19235.56
2022-07-03,19164.63
2022-07-04,19524.12
2022-07-05,20001.37
2022-07-06,20186.57
2022-07-07,20813.60
2022-07-08,21751.21
2022-07-09,21615.40
2022-07-10,21135.12
2022-07-11,20465.28
2022-07-12,19749.48
2022-07-13,19638.40
2022-07-14,20190.99
2022-07-15,20782.38
2022-07-16,20876.07
2022-07-17,21203.86
2022-07-18,21872.60
2022-07-19,22539.94
2022-07-20,23570.99
2022-07-21,22929.51
2022-07-22,23134.07
2022-07-23,22510.13
2022-07-24,22635.53
2022-07-25,21942.38
2022-07-26,21039.05
2022-07-27,21680.68
2022-07-28,23346.42
2022-07-29,23888.49
2022-07-30,24034.84
2022-07-31,23720.68
2022-08-01,23228.51
2022-08-02,22964.95
2022-08-03,23174.94
2022-08-04,22849.70
2022-08-05,23080.75
2022-08-06,23188.75
2022-08-07,23081.04
2022-08-08,23813.68
2022-08-09,23431.09
2022-08-10,23432.08
2022-08-11,24372.06
2022-08-12,24003.77
2022-08-13,24526.99
2022-08-14,24507.78
2022-08-15,24272.14
2022-08-16,23968.21
2022-08-17,23692.72
2022-08-18,23421.41
2022-08-19,21808.07
2022-08-20,21182.74
2022-08-21,21387.93
2022-08-22,21278.38
2022-08-23,21395.88
2022-08-24,21476.78
2022-08-25,21605.31
2022-08-26,21184.02
2022-08-27,20138.43
2022-08-28,20022.24
2022-08-29,19985.80
2022-08-30,20157.07
2022-08-31,20213.97
2022-09-01,19978.37
2022-09-02,20099.34
2022-09-03,19846.89
2022-09-04,19805.23
2022-09-05,19797.69
2022-09-06,19599.59
2022-09-07,18910.92
2022-09-08,19262.28
2022-09-09,20715.33
2022-09-10,21388.72
2022-09-11,21624.17
2022-09-12,22115.09
2022-09-13,21566.82
2022-09-14,20238.28
2022-09-15,19986.90
2022-09-16,19717.11
2022-09-17,19950.10
2022-09-18,19878.72
2022-09-19,19004.89
2022-09-20,19203.71
2022-09-21,19008.69
2022-09-22,18974.48
2022-09-23,19071.35
2022-09-24,19082.86
2022-09-25,18993.20
2022-09-26,19011.79
2022-09-27,19738.24
2022-09-28,19116.92
2022-09-29,19392.24
2022-09-30,19526.56
2022-10-01,19330.12
2022-10-02,19232.91
2022-10-03,19312.74
2022-10-04,19941.27
2022-10-05,20136.41
2022-10-06,20144.73
2022-10-07,19782.68
2022-10-08,19496.09
2022-10-09,19447.40
2022-10-10,19332.55
2022-10-11,19075.50
2022-10-12,19123.93
2022-10-13,19043.38
2022-10-14,19518.49
2022-10-15,19140.79
2022-10-16,19162.86
2022-10-17,19398.73
2022-10-18,19472.14
2022-10-19,19216.77
2022-10-20,19131.88
2022-10-21,19063.94
2022-10-22,19178.64
2022-10-23,19267.61
2022-10-24,19342.75
2022-10-25,19598.13
2022-10-26,20530.03
2022-10-27,20625.20
2022-10-28,20381.13
2022-10-29,20777.87
2022-10-30,20719.67
2022-10-31,20510.49
2022-11-01,20509.06
2022-11-02,20428.77
2022-11-03,20258.77
2022-11-04,20693.09
2022-11-05,21341.92
2022-11-06,21215.41
2022-11-07,20781.80
2022-11-08,19573.45
2022-11-09,17550.02
2022-11-10,16962.44
2022-11-11,17113.92
2022-11-12,16838.77
2022-11-13,16646.12
2022-11-14,16464.94
2022-11-15,16841.19
2022-11-16,16714.32
2022-11-17,16617.53
2022-11-18,16744.40
2022-11-19,16655.31
2022-11-20,16608.20
2022-11-21,16075.45
2022-11-22,15970.33
2022-11-23,16479.62
2022-11-24,16609.12
2022-11-25,16505.71
2022-11-26,16562.38
2022-11-27,16547.26
2022-11-28,16214.90
2022-11-29,16414.56
2022-11-30,16931.08
2022-12-01,17086.01
2022-12-02,16993.65
2022-12-03,16996.99
2022-12-04,17032.92
2022-12-05,17174.65
2022-12-06,17004.77
2022-12-07,16889.09
2022-12-08,16934.39
2022-12-09,17194.85
2022-12-10,17167.92
2022-12-11,17157.96
2022-12-12,17006.60
2022-12-13,17464.48
2022-12-14,17882.34
2022-12-15,17582.74
2022-12-16,17106.47
2022-12-17,16702.48
2022-12-18,16743.79
2022-12-19,16691.25
2022-12-20,16789.59
2022-12-21,16836.35
2022-12-22,16787.48
2022-12-23,16833.83
2022-12-24,16838.68
2022-12-25,16823.61
2022-12-26,16854.51
2022-12-27,16809.02
2022-12-28,16638.27
2022-12-29,16595.28
2022-12-30,16550.98
2022-12-31,16570.76
2023-01-01,16560.69
2023-01-02,16691.73
2023-01-03,16687.90
2023-01-04,16828.56
2023-01-05,16831.48
2023-01-06,16831.96
2023-01-07,16942.43
2023-01-08,16954.77
2023-01-09,17245.82
2023-01-10,17296.20
2023-01-11,17455.06
2023-01-12,18342.29
2023-01-13,19081.19
2023-01-14,20809.53
2023-01-15,20779.40
2023-01-16,21032.61
2023-01-17,21201.99
2023-01-18,21129.35
2023-01-19,20861.22
2023-01-20,21313.09
2023-01-21,22893.25
2023-01-22,22807.04
2023-01-23,22843.13
2023-01-24,22972.94
2023-01-25,22709.95
2023-01-26,23083.33
2023-01-27,23005.66
2023-01-28,23027.63
2023-01-29,23446.51
2023-01-30,23300.81
2023-01-31,22973.06
2023-02-01,23186.78
2023-02-02,23806.63
2023-02-03,23488.79
2023-02-04,23398.80
2023-02-05,23203.17
2023-02-06,22915.72
2023-02-07,22994.03
2023-02-08,23092.65
2023-02-09,22563.15
2023-02-10,21785.18
2023-02-11,21713.27
2023-02-12,21879.95
2023-02-13,21692.55
2023-02-14,21926.78
2023-02-15,22687.20
2023-02-16,24608.74
2023-02-17,24024.00
2023-02-18,24607.24
2023-02-19,24647.40
2023-02-20,24645.03
2023-02-21,24675.81
2023-02-22,24027.82
2023-02-23,24147.72
2023-02-24,23635.39
2023-02-25,23063.88
2023-02-26,23266.47
2023-02-27,23452.58
2023-02-28,23399.34
2023-03-01,23589.34
2023-03-02,23424.42
2023-03-03,22457.43
2023-03-04,22350.59
2023-03-05,22455.78
2023-03-06,22431.62
2023-03-07,22345.72
2023-03-08,22066.94
2023-03-09,21442.24
2023-03-10,19985.51
2023-03-11,20259.05
2023-03-12,20680.89
2023-03-13,23080.88
2023-03-14,24857.58
2023-03-15,24680.15
2023-03-16,24796.57
2023-03-17,26425.00
2023-03-18,27492.46
2023-03-19,27594.88
2023-03-20,28042.46
2023-03-21,28129.64
2023-03-22,28213.27
2023-03-23,27940.19
2023-03-24,28112.11
2023-03-25,27651.93
2023-03-26,27844.69
2023-03-27,27601.10
2023-03-28,27062.36
2023-03-29,28116.38
2023-03-30,28397.41
2023-03-31,28218.30
2023-04-01,28487.08
2023-04-02,28326.01
2023-04-03,28029.19
2023-04-04,28099.65
2023-04-05,28360.88
2023-04-06,28022.70
2023-04-07,27957.72
2023-04-08,28020.87
2023-04-09,28038.89
2023-04-10,28607.77
2023-04-11,30130.59
2023-04-12,30031.13
2023-04-13,30235.73
2023-04-14,30609.54
2023-04-15,30408.46
2023-04-16,30333.84
2023-04-17,29722.67
2023-04-18,29945.92
2023-04-19,29574.03
2023-04-20,28693.33
2023-04-21,27977.03
2023-04-22,27438.30
2023-04-23,27594.20
2023-04-24,27497.35
2023-04-25,27536.72
2023-04-26,28872.69
2023-04-27,29163.58
2023-04-28,29349.97
2023-04-29,29321.83
2023-04-30,29363.51
2023-05-01,28455.45
2023-05-02,28270.81
2023-05-03,28558.47
2023-05-04,29005.60
2023-05-05,29266.49
2023-05-06,29135.61
2023-05-07,28914.01
2023-05-08,27944.38
2023-05-09,27605.99
2023-05-10,27725.45
2023-05-11,27301.61
2023-05-12,26521.67
2023-05-13,26834.58
2023-05-14,26876.96
2023-05-15,27327.83
2023-05-16,27075.83
2023-05-17,27009.38
2023-05-18,27151.22
2023-05-19,26883.21
2023-05-20,26932.58
2023-05-21,26986.33
2023-05-22,26812.42
2023-05-23,27231.87
2023-05-24,26626.33
2023-05-25,26315.21
2023-05-26,26573.88
2023-05-27,26723.67
2023-05-28,27314.50
2023-05-29,27879.71
2023-05-30,27786.79
2023-05-31,27205.58
2023-06-01,26924.58
2023-06-02,27066.46
2023-06-03,27159.42
2023-06-04,27175.79
2023-06-05,26445.67
2023-06-06,26101.67
2023-06-07,26686.29
2023-06-08,26468.92
2023-06-09,26530.67
2023-06-10,25843.33
2023-06-11,25839.33
2023-06-12,25876.04
2023-06-13,25992.21
2023-06-14,25827.54
2023-06-15,25101.17
2023-06-16,25765.79
2023-06-17,26473.92
2023-06-18,26511.54
2023-06-19,26501.39
2023-06-20,27193.50
2023-06-21,29301.96
2023-06-22,30101.58
2023-06-23,30348.29
2023-06-24,30641.38
2023-06-25,30634.21
2023-06-26,30272.33
2023-06-27,30530.29
2023-06-28,30320.13
2023-06-29,30419.25
2023-06-30,30577.13
2023-07-01,30508.79
2023-07-02,30540.17
2023-07-03,30817.63
2023-07-04,31002.91
2023-07-05,30604.46
2023-07-07,30190.46
2023-07-08,30233.92
2023-07-09,30274.33
2023-07-10,30257.38
2023-07-11,30504.96
2023-07-12,30584.83
2023-07-13,30707.50
2023-07-14,31080.91
2023-07-15,30319.08
2023-07-16,30303.88
2023-07-17,30191.42
2023-07-18,29959.88
2023-07-19,29984.21
2023-07-20,29993.29
2023-07-21,29859.25
2023-07-22,29881.79
2023-07-23,29946.63
2023-07-24,29431.18
2023-07-25,29174.75
2023-07-26,29277.71
2023-07-28,29261.50
2023-07-29,29330.29
2023-07-30,29306.50
2023-07-31,29326.79
2023-08-01,29006.88
2023-08-02,29429.96
2023-08-03,29161.38
2023-08-05,29031.75
2023-08-06,29038.58
2023-08-07,29050.08
2023-08-08,29436.58
2023-08-09,29701.67
2023-08-10,29488.67
2023-08-11,29388.75
2023-08-13,29377.71
2023-08-14,29373.33
2023-08-15,29316.46
2023-08-16,29102.42
2023-08-17,28196.50
2023-08-18,26295.96
2023-08-19,25995.58
2023-08-20,26121.96
2023-08-21,26064.67
2023-08-22,25980.33
2023-08-23,26169.17
2023-08-24,26287.58
2023-08-25,26048.88
2023-08-26,26031.96
2023-08-27,26059.83
2023-08-28,26025.38
2023-08-29,26682.83
2023-08-30,27356.29
2023-08-31,26885.63
2023-09-01,25898.67
2023-09-02,25822.04
2023-09-03,25912.67
2023-09-04,25891.42
2023-09-05,25732.29
2023-09-07,25824.25
2023-09-08,26014.88
2023-09-09,25866.54
2023-09-10,25820.42
2023-09-11,25497.04
2023-09-12,25868.58
2023-09-13,26083.88
2023-09-14,26435.38
2023-09-15,26502.17
2023-09-16,26556.79
2023-09-17,26529.83
2023-09-18,26853.46
2023-09-19,27044.17
2023-09-20,27131.33
2023-09-21,26778.04
2023-09-22,26610.26
2023-09-23,26574.17
2023-09-24,26552.50
2023-09-25,26195.54
2023-09-26,26236.04
2023-09-27,26311.33
2023-09-28,26662.25
2023-09-29,26952.29
2023-09-30,26969.33
2023-10-01,27177.75
2023-10-02,28060.33
2023-10-03,27487.46
2023-10-04,27517.08
2023-10-05,27632.67
2023-10-06,27703.33
2023-10-07,27942.88
2023-10-08,27932.58
2023-10-09,27687.67
2023-10-10,27526.21
2023-10-11,27023.54
2023-10-12,26754.21
2023-10-13,26815.71
2023-10-14,26878.67
2023-10-15,26935.67
2023-10-16,27903.96
2023-10-17,28410.67
2023-10-18,28419.21
2023-10-19,28494.21
2023-10-20,29429.29
2023-10-21,29794.75
2023-10-22,29927.71
2023-10-23,30879.04
2023-10-24,34107.42
2023-10-25,34335.92
2023-10-26,34344.75
2023-10-27,33962.13
2023-10-28,34098.54
2023-10-29,34302.67
2023-10-30,34446.33
2023-10-31,34401.75
2023-11-01,34618.04
2023-11-02,35160.79
2023-11-03,34534.33
2023-11-04,34774.96
2023-11-05,35068.17
2023-11-06,34997.92
2023-11-07,34967.46
2023-11-08,35397.96
2023-11-09,36578.50
2023-11-10,36937.17
2023-11-11,37081.83
2023-11-12,37083.42
2023-11-13,36874.75
2023-11-14,36233.52
2023-11-15,36271.83
2023-11-16,36934.29
2023-11-17,36360.79
2023-11-18,36504.04
2023-11-19,36654.83
2023-11-20,37296.13
2023-11-21,37172.42
2023-11-23,37324.83
2023-11-24,37652.71
2023-11-25,37766.50
2023-11-26,37609.83
2023-11-27,37179.29
2023-11-28,37435.79
2023-11-29,37950.13
2023-11-30,37782.29
2023-12-01,38413.83
2023-12-02,38909.79
2023-12-03,39557.67
2023-12-04,41442.04
2023-12-05,42384.38
2023-12-06,43876.25
2023-12-07,43569.48
2023-12-08,43681.21
2023-12-09,44046.33
2023-12-10,43826.96
2023-12-11,41913.25
2023-12-12,41541.67
2023-12-13,41608.17
2023-12-14,42855.79
2023-12-15,42486.50
2023-12-16,42263.75
2023-12-17,41927.54
2023-12-18,41385.54
2023-12-19,42695.88
2023-12-20,43179.46
2023-12-21,43733.54
2023-12-22,43814.52
2023-12-23,43698.34
2023-12-24,43633.36
2023-12-25,43354.95
2023-12-26,42685.80
2023-12-27,42827.38
2023-12-28,42949.33
2023-12-29,42416.63
2023-12-30,42125.17
2023-12-31,42440.50
2024-01-01,42787.21
2024-01-02,45265.29
2024-01-03,43955.83
2024-01-04,43508.46
2024-01-06,43841.54
2024-01-07,44101.26
2024-01-08,44866.04
2024-01-09,46673.67
2024-01-10,45782.95
2024-01-11,46563.88
2024-01-12,45067.46
2024-01-13,42864.38
2024-01-14,42742.88
2024-01-15,42618.63
2024-01-16,42925.13
2024-01-17,42708.14
2024-01-18,42231.96
2024-01-19,41255.58
2024-01-20,41596.92
2024-01-21,41672.75
2024-01-22,40699.92
2024-01-23,39415.29
2024-01-24,39896.71
2024-01-25,39953.38
2024-01-26,40913.13
2024-01-27,41819.08
2024-01-28,42238.17
2024-01-29,42494.96
2024-01-30,43430.29
2024-01-31,42901.96
2024-02-02,43049.79
2024-02-03,43088.79
2024-02-04,42868.42
2024-02-05,42738.54
2024-02-06,42935.38
2024-02-07,43253.54
2024-02-08,44889.50
2024-02-09,46737.42
2024-02-10,47362.92
2024-02-11,48145.75
2024-02-12,48760.67
2024-02-13,49605.42
2024-02-14,50838.04
2024-02-15,52098.63
2024-02-16,52049.46
2024-02-17,51637.21
2024-02-18,51761.58
2024-02-19,52140.33
2024-02-20,51835.92
2024-02-21,51472.13
2024-02-22,51555.63
2024-02-23,51082.13
2024-02-24,51146.29
2024-02-25,51631.08
2024-02-26,52320.08
2024-02-27,56508.21
2024-02-28,59293.13
2024-02-29,62104.92
2024-03-01,61918.58
2024-03-02,62013.08
2024-03-03,62220.13
2024-03-04,65263.17
2024-03-05,66246.04
2024-03-06,66004.84
2024-03-07,66825.84
2024-03-08,67738.41
2024-03-09,68380.79
2024-03-11,71044.34
2024-03-12,71620.16
2024-03-13,72737.71
2024-03-14,72230.84
2024-03-15,68519.75
2024-03-16,68247.91
2024-03-17,67015.04
2024-03-18,67717.79
2024-03-19,64262.29
2024-03-20,63856.25
2024-03-21,66688.41
2024-03-22,64642.96
2024-03-23,64559.96
2024-03-24,65216.46
2024-03-25,68398.35
2024-03-26,70340.13
2024-03-27,69778.41
2024-03-28,70390.38
2024-03-29,70047.84
2024-03-30,69993.38
2024-03-31,70440.38
